Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Review	Clinical Domain	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
119	NCT02697578	Artificial Intelligence: a New Alternative to Analyse CKD-MBD in Hemodialysis		Completed	No Results Available	Chronic Kidney Disease Mineral and Bone Disorder				Change from Baseline Fibroblast growth factor 23 (pg/ml) at 24 months	Maimónides Biomedical Research Institute of Córdoba	All	"18 Years to 90 Years   (Adult, Older Adult)"		197	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	PI-0311-2014	"February 1, 2016"	19-Dec-18	19-Dec-18	3-Mar-16		21-Dec-18	"Hospital Universitario Reina Sofía, Córdoba, Spain"		https://ClinicalTrials.gov/show/NCT02697578
120	NCT02464449	Patient-Centered Pain Care Using Artificial Intelligence and Mobile Health Tools	REACT (AI CBT)	"Active, not recruiting"	No Results Available	Back Pain			Behavioral: Behavioral: AI-CBT|Behavioral: Behavioral: Standard Telephone CBT	pain-related disability|global pain intensity|Pain-Related Interference|depression symptom severity	VA Office of Research and Development	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	276	U.S. Fed	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research	IIR 13-350	"July 24, 2017"	30-Apr-20	30-Apr-20	8-Jun-15		21-Jan-20	"VA Connecticut Healthcare System West Haven Campus, West Haven, CT, West Haven, Connecticut, United States|VA Ann Arbor Healthcare System, Ann Arbor, MI, Ann Arbor, Michigan, United States"		https://ClinicalTrials.gov/show/NCT02464449
121	NCT02243670	Using Artificial Intelligence To Monitor Medication Adherence in Opioid Replacement Therapy		Completed	No Results Available	Opiate Addiction|Medication Non-adherence|Addiction|Opioid Dependence			Device: AiCure monitoring and intervention	To evaluate the feasibility and acceptability to participants and study staff in using AiCure to monitor medication adherence.|To evaluate the acceptability of using AiCure to optimize care pathways.|To measure the reliability and validity of AiCure in detecting interruptions in treatment.|The degree of participant maximum craving (during the 24 hour period prior to the study visit) for opioids as measured by the Brief Substance Craving Scale (BSCS).|The change in participant's psychosocial well being over time as measured by the seven subscales of the Addiction Severity Index (ASI).	AiCure|Orexo AB|Montefiore Medical Center	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	9	Industry|Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	AIC-HHSN271201300036C-01|HHSN271201300036C	"August 1, 2016"	17-Mar	17-Mar	18-Sep-14		12-Sep-17	"Montefiore Medical Center, New York, New York, United States"		https://ClinicalTrials.gov/show/NCT02243670
122	NCT04000620	Imaging-based Deep Learning for Lung Cancer Diagnosis and Staging		Recruiting	No Results Available	Lung Cancer			Procedure: surgery|Procedure: punture	pathologic result revealed cancer cell involvement in lesion	"Wuhan Union Hospital, China"	All	"18 Years to 75 Years   (Adult, Older Adult)"		500	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	AFDSFA	"May 1, 2018"	20-May	21-May	27-Jun-19		27-Jun-19	"Wuhan Union Hospital, Wuhan, Hubei, China"		https://ClinicalTrials.gov/show/NCT04000620
123	NCT03490149	Prediction of the Cognitive Effects of Electroconvulsive Therapy Via Machine Learning and Neuroimaging	CoEffECT	Recruiting	No Results Available	ECT|Depression|Cognitive Impairment|Memory Impairment			Device: Electroconvulsive Therapy|Drug: Medication - Treatment as usual	Change in auditory verbal learning performance|Change in autobiographical memory performance|Change in subjective memory impairment|Occurence of retrograde amnesia|Change in depression severity as measured by the Hamilton Depression Rating Scale (HDRS 28).|Change in depression severity as measured by the Montgomery-Åsberg Depression Rating Scale (MADRS)	"University Hospital, Bonn|Maximilian Kiebs, M.Sc. - University Hospital Bonn (Department of Medical Psychology)"	All	"18 Years to 85 Years   (Adult, Older Adult)"		180	Other	Observational	Observational Model: Case-Control|Time Perspective: Prospective	CoEffECT - Study	"January 2, 2018"	1-Dec-20	1-Mar-21	6-Apr-18		25-Sep-19	"Klinik und Poliklinik für Psychiatrie und Psychotherapie, Bonn, Nordrhein-Westfalen, Germany"		https://ClinicalTrials.gov/show/NCT03490149
124	NCT03973762	"A Blinded, Self-control Trial to Evaluate an Artificial Intelligence Based CAD System for Diabetic Retinography"		Recruiting	No Results Available	Diabetic Retinopathy			Device: DR Grading with CAD|Other: DR Grading by expert panel	Se and Sp under investigation target 3|Se and Sp under investigation target 1/2/4/5	Peking Union Medical College Hospital|Peking University People's Hospital|Beijing Tongren Hospital|Chinese PLA General Hospital	All	"Child, Adult, Older Adult"	Not Applicable	1080	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Diagnostic	GTR201-Clinical	"May 31, 2019"	15-Dec-19	30-Dec-19	4-Jun-19		14-Aug-19	"Peking Union Medical College Hospital, Peking, Beijing, China"		https://ClinicalTrials.gov/show/NCT03973762
125	NCT03895606	Prediction of Kidney Injury After Hyperthermic Intraperitoneal Chemotherapy (HIPEC)* With Machine Learning	HIPEC	Recruiting	No Results Available	Acute Kidney Injury|Chemotherapy			Other: Data collection	number of patients with postoperative acute kidney injury staged by Kidney Disease: Improving Global Outcomes (KDIGO)	Gangnam Severance Hospital	All	"19 Years and older   (Adult, Older Adult)"		80	Other	Observational	Observational Model: Case-Only|Time Perspective: Prospective	3-2019-0016	"March 29, 2019"	18-Mar-20	30-Mar-20	29-Mar-19		31-Jul-19	"Gangnam Severeance Hospital, Seoul, Korea, Republic of"		https://ClinicalTrials.gov/show/NCT03895606
126	NCT03843164	Lung Nodule Characterization by Artificial Intelligence Techniques	CARANOD-IA	Recruiting	No Results Available	Incidental Lung Nodule				"Evaluate the performances of a novel tool based on radiomics to characterize incidental lung nodules, discovered on computed tomography."	"University Hospital, Strasbourg, France"	All	"18 Years and older   (Adult, Older Adult)"		50	Other	Observational	Observational Model: Case-Only|Time Perspective: Retrospective	7311	"March 12, 2019"	21-Mar	21-Mar	15-Feb-19		4-Apr-19	"Service de Radiologie B - NHC, Strasbourg, France"		https://ClinicalTrials.gov/show/NCT03843164
127	NCT03919370	Detection of Cerebral Ischemia With Artificial Intelligence.	TROT	Not yet recruiting	No Results Available	"Ischemia, Cerebral|Ischemic Stroke|Artery Occlusion|Artery Carotid Stenosi"		Cardiovascular	Other: No intervention	Heart Rate variability|Near infrared spectroscopy	"Linda Block|Göteborg University|Sahlgrenska University Hospital, Sweden"	All	"18 Years to 100 Years   (Adult, Older Adult)"		10	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	Detection of cerebral ischemia	"December 1, 2019"	20-Dec	22-Dec	18-Apr-19		20-Sep-19			https://ClinicalTrials.gov/show/NCT03919370
128	NCT04011761	"Effects of Expert Arbitration on Clinical Outcomes When Disputes Over Diagnosis Arise Between Physicians and Their Artificial Intelligence Counterparts: a Randomized, Multicenter Trial in Pediatric Outpatients"		Not yet recruiting	No Results Available	"Pediatric Outpatients Encountered in Three Specialty Clinics, i.e. Respirology, Gastroenterology, and Genito-urology"			"Other: expert arbitration over discordant diagnoses made by AI diagnostic system and human doctors, respectively"	"Hospital revisit|Hospitalization in the next 3 months after the initial visit|Average total outpatient cost|Accuracy rate of AI-based diagnosis and accuracy rate of the diagnoses made by pediatricians, using the diagnoses made by the expert arbitrator as the decisive diagnoses.|Counseling time spent with each patient"	Guangzhou Women and Children's Medical Center	All	"up to 18 Years   (Child, Adult)"	Not Applicable	10000	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	aiwcmc	"November 1, 2019"	31-Oct-20	30-Apr-21	8-Jul-19		8-Jul-19	"Guangzhou Women and Children's Medical Center, Guangzhou, Guangdong, China"		https://ClinicalTrials.gov/show/NCT04011761
129	NCT04269304	Deciphering AMD by Deep Phenotyping and Machine Learning- Prospective Study - PINNACLE	PINNACLE	Recruiting	No Results Available	Age-related Macular Degeneration				Sensitivity / specificity of OCT and autofluorescence parameters.|Sensitivity / specificity of novel imaging characteristics	"University of Southampton|University College, London|Imperial College London|University of Basel|Medical University of Vienna|University of Michigan"	All	"55 Years to 90 Years   (Adult, Older Adult)"		400	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	IRAS - 256931|47270|210572/Z/18/Z	"October 28, 2019"	23-Dec	24-Dec	13-Feb-20		13-Feb-20	"Medical University of Vienna, Vienna, Austria|University Hospital Basel, Basel, Switzerland|The Princess Alexandra Hospital Nhs Foundation Trust, Harlow, Essex, United Kingdom|Portsmouth Hospitals Nhs Trust, Portsmouth, Hampshire, United Kingdom|University Hospital Southampton, Southampton, Hampshire, United Kingdom|Frimley Health Nhs Foundation Trust, Frimley, Surrey, United Kingdom|Salisbury Nhs Foundation Trust, Salisbury, Wiltshire, United Kingdom|University Hospitals Bristol Nhs Foundation Trust, Bristol, United Kingdom|Moorfields Eye Hospital, London, United Kingdom|Royal Free London Nhs Foundation Trust, London, United Kingdom|Guy'S and St Thomas' Nhs Ft, London, United Kingdom"		https://ClinicalTrials.gov/show/NCT04269304
130	NCT03829423	An Enhanced Artificial Intelligence Breast MRI Interpretation System	IntelliScan	Not yet recruiting	No Results Available	Breast Cancer			Diagnostic Test: Breast MRI interpretation	Sensitivity/specificity of breast interpretation algorithm|Time required for diagnosis|User-friendliness of IntelliScan system	Jamil Kanfoud|Brunel University London|First Option Software Ltd.|Teesside University	Female	"20 Years and older   (Adult, Older Adult)"	Not Applicable	1526	Other	Interventional	Intervention Model: Single Group Assignment|Masking: Single (Care Provider)|Primary Purpose: Diagnostic	4901	"April 1, 2019"	20-Jan	20-Jul	4-Feb-19		6-Feb-19			https://ClinicalTrials.gov/show/NCT03829423
131	NCT03125837	Establishment of Airway Database for Surgical Patients		Not yet recruiting	No Results Available	Difficult Airway|Artificial Intelligence				the sensitivity of artificial Intelligence to predict difficulty of facemask ventilation and endotracheal intubation	"Second Affiliated Hospital, School of Medicine, Zhejiang University|Zhejiang University"	All	"18 Years and older   (Adult, Older Adult)"		50000	Other	Observational	Observational Model: Other|Time Perspective: Prospective	2016-076	"May 1, 2017"	22-May	22-May	24-Apr-17		24-Apr-17			https://ClinicalTrials.gov/show/NCT03125837
132	NCT01369290	Electroencephalography (EEG) Signal Processing	EEG-SP	Unknown status	No Results Available	Major Depressive Disorder			Drug: Venlafaxine|Drug: bupropion|Drug: escitalopram|Other: Psychotherapy|Drug: Duloxetine	Machine learning	St. Joseph's Healthcare Hamilton	All	"18 Years to 70 Years   (Adult, Older Adult)"		150	Other	Observational	Observational Model: Case-Only|Time Perspective: Prospective	ESP-3152|EEG Signal Processing	"October 1, 2009"	12-Oct	13-Oct	8-Jun-11		30-Nov-11	"St. Joseph's Healthcare, Centre for Mountain Health Services, Hamilton, Ontario, Canada"		https://ClinicalTrials.gov/show/NCT01369290
133	NCT04208971	Batch Enrollment for AI-Guided Intervention to Lower Neurologic Events in Unrecognized AF		Not yet recruiting	No Results Available	Atrial Fibrillation		Cardiovascular	Other: AI-enabled ECG-based Screening Tool for AF	Diagnosis of Atrial Fibrillation as Detected by Patch Application	Mayo Clinic	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	1000	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Screening	19-012411	"October 1, 2020"	21-Oct	22-Oct	23-Dec-19		23-Dec-19			https://ClinicalTrials.gov/show/NCT04208971
134	NCT02454660	Improving Adherence and Outcomes by Artificial Intelligence-Adapted Text Messages	AIM@BP	Completed	No Results Available	Medication Non-adherence			Behavioral: SMS (Text messages)	Medication Adherence (Proportion Days Covered (PDC)) assessed by administrative insurance records|Self-reported medication adherence assessed via a questionnaire|Pill bottle openings (how often medication was taken) assessed by records from pill bottle caps (MEMS readers)|Medication Beliefs assessed via a questionnaire	University of Michigan|Agency for Healthcare Research and Quality (AHRQ)	All	"21 Years and older   (Adult, Older Adult)"	Not Applicable	49	Other|U.S. Fed	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Prevention	1R21HS022336-01A1	"May 1, 2015"	4-Nov-16	4-Nov-16	27-May-15		11-Apr-17	"University of Michigan College of Pharmacy, Ann Arbor, Michigan, United States|Spectrum Health, Grand Rapids, Michigan, United States"		https://ClinicalTrials.gov/show/NCT02454660
135	NCT04142879	Automated Detection and Triage of Large Vessel Occlusions Using Artificial Intelligence for Early and Rapid Treatment (ALERT)	ALERT	Not yet recruiting	No Results Available	Stroke Workflow and Clinical Outcome Parameters			Device: Viz Device Software	Non-Interventional Centers|Interventional Centers|Workflow Endpoints	"Providence Little Company of Mary-Torrance|Viz.ai, Inc."	All	"18 Years and older   (Adult, Older Adult)"		500	Other|Industry	Observational	Observational Model: Cohort|Time Perspective: Prospective	ALERT-VIZ-LVO-02	"December 1, 2019"	31-Dec-20	31-Dec-21	29-Oct-19		29-Oct-19	"Providence Little Company of Mary Medical Center-Torrance, Torrance, California, United States"		https://ClinicalTrials.gov/show/NCT04142879
136	NCT02748044	Validation of the Utility of Rare Disease Intelligence Platform		Completed	No Results Available	Cataract|Artificial Intelligence			Device: CC-Cruiser	"The proportion of accurate, mistaken and miss detection of CC-Cruiser."	"Sun Yat-sen University|Ministry of Health, China|Xidian University"	All	"up to 80 Years   (Child, Adult, Older Adult)"	Not Applicable	53	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	CCPMOH2016-China3	"January 1, 2012"	16-Apr	16-Apr	22-Apr-16		22-Apr-16	"Zhongshan Ophthalmic Center, Sun Yat-sen University, Guangzhou, Guangdong, China|Department of Ophthalmology, Guangdong General Hospital, Guangdong Academy of Medical Sciences, Guangzhou, Guangdong, China|Department of Ophthalmology, First Affiliated Hospital, Guangzhou University of Traditional Chinese Medicine, Guangzhou, Guangdong, China|Department of Ophthalmology, Qingyuan People's Hospital, Qingyuan, Guangdong, China"		https://ClinicalTrials.gov/show/NCT02748044
